gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
NA,20,High School,Fair,Fair,Exciting,Pretty Happy,$25000 or more,Getting better,Poor,Excellent,Very Good
Male,48,Less than High School,Good,NA,NA,Very Happy,$15000 to $19999,Stayed the same,Good,Very Good,Very Good
NA,51,Less than High School,Fair,Fair,Exciting,Pretty Happy,$10000 to $14999,Stayed the same,Fair,Fair,Fair
Male,18,Less than High School,Excellent,Excellent,Exciting,Not too Happy,NA,Getting better,Excellent,Very Good,Excellent
Male,18,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Fair
NA,41,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Excellent,Very Good
Male,51,High School,Fair,Fair,Exciting,Not too Happy,$5000 to $5999,Getting worse,Good,Very Good,Very Good
NA,41,Less than High School,Good,Good,Routine,Pretty Happy,$3000 to $3999,Getting worse,Good,Good,Good
Male,71,High School,Fair,NA,NA,Pretty Happy,NA,Getting worse,Fair,Good,Good
NA,43,Less than High School,Good,Fair,Exciting,Very Happy,$25000 or more,Getting better,Fair,Good,Good
NA,53,Bachelors,NA,Good,Exciting,Pretty Happy,NA,Stayed the same,NA,NA,NA
Female,46,Associate/Junior College,Poor,Poor,Exciting,Not too Happy,$25000 or more,Getting worse,Poor,Very Good,Poor
NA,36,High School,Fair,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Very Good
Female,19,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Poor
Female,65,High School,Good,NA,NA,Very Happy,$25000 or more,Getting worse,Fair,Good,Very Good
Male,60,High School,Very Good,Good,Routine,Not too Happy,$25000 or more,Getting better,Very Good,Good,Fair
Male,63,Bachelors,Very Good,NA,NA,Pretty Happy,NA,Getting worse,Good,Good,Fair
Female,36,Graduates,Very Good,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Good,Fair
Male,40,Bachelors,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,42,Graduates,Excellent,Good,Exciting,Very Happy,NA,Getting better,Very Good,Very Good,Very Good
Female,61,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
Female,27,Bachelors,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
