gender,age,degree,quallife,health,life,happy,income,confedvac,confedvacy,finalter,hlthphys,hlthmntl,satsoc,white,black,amer_indian_alaska,asian_indian,chinese,filipino,japenese,korean,vietnamese,oth_asian,native_hawaiian,guamanian_chamorro,samoan,oth_pacific_islander,oth_race,hispanic
Female,80,High School,Good,Fair,Routine,Pretty Happy,$15000 to $19999,A great deal,NA,Stayed the same,Fair,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,39,High School,Good,Good,NA,Pretty Happy,$25000 or more,A great deal,NA,Getting better,Good,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,30,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,NA,NA,Stayed the same,Fair,Fair,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,33,High School,Very Good,Good,Routine,Not too Happy,$10000 to $14999,NA,NA,Getting better,Very Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,29,Associate/Junior College,Excellent,Fair,Routine,Very Happy,$15000 to $19999,NA,Only some,Getting worse,Excellent,Very Good,Very Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Female,22,High School,Good,Fair,NA,Pretty Happy,$25000 or more,NA,Hardly any,Getting worse,Fair,Fair,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,59,Bachelors,Very Good,Excellent,NA,Very Happy,$25000 or more,Only some,NA,Getting better,Very Good,Very Good,Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Female,61,High School,Good,Good,Routine,Pretty Happy,$15000 to $19999,NA,Only some,Getting worse,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,46,High School,Good,Fair,Routine,Pretty Happy,$20000 to $24999,NA,NA,Stayed the same,Fair,Fair,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,39,Associate/Junior College,Excellent,Good,Routine,Pretty Happy,$25000 or more,NA,NA,Getting worse,Very Good,Excellent,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,72,High School,Fair,Good,NA,Pretty Happy,NA,A great deal,NA,Stayed the same,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,55,High School,Fair,Fair,NA,Pretty Happy,$25000 or more,NA,Hardly any,Getting better,Fair,Fair,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,51,High School,Excellent,Good,Exciting,Pretty Happy,$25000 or more,NA,Hardly any,Getting worse,Very Good,Excellent,Excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,23,Associate/Junior College,Very Good,Excellent,Exciting,Very Happy,$6000 to $6999,Only some,NA,Getting better,Excellent,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,55,Graduates,NA,Good,Exciting,Very Happy,$25000 or more,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Less than High School,NA,Good,Routine,Pretty Happy,Refused,NA,NA,Getting worse,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,53,Graduates,Good,Fair,NA,Pretty Happy,NA,A great deal,NA,Stayed the same,Fair,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,59,Graduates,Excellent,Excellent,Exciting,Very Happy,$25000 or more,NA,Only some,Getting better,Excellent,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
